scholar_id,url_picture,name,affiliation,email_domain,interests,citedby,Country Ranking,World Rank,Country,Institution
_UZRRxkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=_UZRRxkAAAAJ,Karl Dane Wittrup,"… of Chemical Engineering & Biological Engineering, Massachusetts Institute of Technology",@mit.edu,"['Antibody engineering', 'protein engineering', 'cancer']",28434,1,1,USA,Massachusetts Institute of Technology - MIT
6uWhcFkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=6uWhcFkAAAAJ,Franz-Josef Ulm,Massachusetts Institute of Technology,@mit.edu,"['Mechanics of Materials', 'Fracture Mechanics', 'Poromechanics', 'Structural Engineering', 'Building Materials']",28333,1,1,USA,Massachusetts Institute of Technology - MIT
vMSY5AgAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=vMSY5AgAAAAJ,Jianzhu Chen,"Professor of Biology, Massachusetts Institute of Technology",@mit.edu,"['Biology', 'Immunology']",27968,1,1,USA,Massachusetts Institute of Technology - MIT
s_IPfEYAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=s_IPfEYAAAAJ,Pablo A. Parrilo,"… of Electrical Engineering and Computer Science, Massachusetts Institute of Technology",@mit.edu,"['Convex Optimization', 'Semidefinite Programming', 'Systems and Control', 'Applied Mathematics']",27465,1,1,USA,Massachusetts Institute of Technology - MIT
c3eio1wAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=c3eio1wAAAAJ,Stuart S. Levine,Massachusetts Institute of Technology,@mit.edu,"['Genomics', 'Bioinformatics', 'Chromatin', 'Regulation of Gene Expression']",27444,1,1,USA,Massachusetts Institute of Technology - MIT
JROhqnQAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=JROhqnQAAAAJ,Ioannis V. Yannas,"Professor of Polymer Science, Massachusetts Institute of Technology",@mit.edu,"['Organ regeneration', 'Regenerative medicine', 'Biomaterials']",26925,1,1,USA,Massachusetts Institute of Technology - MIT
Y0LsOJsAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=Y0LsOJsAAAAJ,Stephen Morris,"Peter A. Diamond Professor of Economics, Massachusetts Institute of Technology",@mit.edu,['Economics'],26374,1,1,USA,Massachusetts Institute of Technology - MIT
JlrEuLkAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=JlrEuLkAAAAJ,Tonio Buonassisi,Massachusetts Institute of Technology,@mit.edu,"['Materials Science', 'Machine Learning', 'Energy Systems', 'Photovoltaics']",25924,1,1,USA,Massachusetts Institute of Technology - MIT
6Ff2c8wAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=6Ff2c8wAAAAJ,Erik Demaine,"… of Electrical Engineering and Computer Science, Massachusetts Institute of Technology",@mit.edu,"['algorithms', 'computational geometry', 'data structures', 'graph algorithms', 'recreational algorithms']",25445,1,1,USA,Massachusetts Institute of Technology - MIT
44XNe5oAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=44XNe5oAAAAJ,Michelle Hanlon,Massachusetts Institute of Technology,@mit.edu,['Accounting and taxation'],25121,1,1,USA,Massachusetts Institute of Technology - MIT
A2Nj34EAAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=A2Nj34EAAAAJ,Philip M. Gschwend,Massachusetts Institute of Technology,@mit.edu,['environmental organic chemistry'],25014,1,1,USA,Massachusetts Institute of Technology - MIT
VNyWLJ0AAAAJ,https://scholar.google.com/citations?view_op=medium_photo&user=VNyWLJ0AAAAJ,Laura L. Kiessling,Massachusetts Institute of Technology,@mit.edu,"['Chemical Biology', 'Organic Chemistry', 'Glycobiology', 'Stem Cell Biology', 'Immunology']",24955,1,1,USA,Massachusetts Institute of Technology - MIT
